Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.4538E-18,-8.0998E-09,0.0042355,0,0,0,9.0284,0.024173,-1.2098E-09,-7.2827E-19,0.048094,-9.2678E-09,0.060522,0,0,0,0,0,0,package://V1.1/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V1.1/meshes/base_link.STL,,1.10.000002_01_机身组件-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_hip_Link,0.0516302752757492,0.0260950056262972,0.000148369274735312,0,0,0,0.408278955837958,0.000206498357979689,-2.53511625035852E-05,-1.20945064081548E-07,0.000183067878022062,-1.37422065690537E-07,0.000219300679428138,0,0,0,0,0,0,package://V1.1/meshes/fl_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.1/meshes/fl_hip_Link.STL,,1.10.000005_01_fl-hip-A-1,fl_hip,fl_hip_axis,fl_hip_Joint,revolute,0.1125,0.045,0,0,0,0,base_link,1,0,0,14,17,-0.6981,0.6981,,,,,,,,
fl_thigh_Link,1.7178E-07,0.043722,-0.098529,0,0,0,0.51852,0.00058679,-4.8324E-09,-8.8235E-10,0.00062275,1.7721E-05,0.00019682,0,0,0,0,0,0,package://V1.1/meshes/fl_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V1.1/meshes/fl_thigh_Link.STL,,1.10.000006_01_thigh-A-1,fl_thigh,fl_thigh_axis,fl_thigh_Joint,revolute,0.0575,0.0525,0,0,0,0,fl_hip_Link,0,1,0,14,17,-2.7925,2.7925,,,,,,,,
fl_calf_Link,3.72824932592941E-08,-0.0152239823851131,-0.0602640415748421,0,0,0,0.128542324156014,0.00036703537186816,-7.12988742029012E-12,-2.13947751861457E-10,0.000375542946093053,-6.0112383103571E-06,1.75060568030421E-05,0,0,0,0,0,0,package://V1.1/meshes/fl_calf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.1/meshes/fl_calf_Link.STL,,1.10.000009_01_calf-纯足-1,fl_calf,fl_calf_axis,fl_calf_Joint,revolute,0,0.026,-0.135,0,0,0,fl_thigh_Link,0,1,0,14,17,-2.5307,2.5307,,,,,,,,
fr_hip_Link,0.05163,-0.026095,0.00014708,0,0,0,0.40828,0.0002065,2.5351E-05,-1.1676E-07,0.00018307,1.26E-07,0.0002193,0,0,0,0,0,0,package://V1.1/meshes/fr_hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V1.1/meshes/fr_hip_Link.STL,,1.10.000008_01_fr-hip-A-1,fr_hip,fr_hip_axis,fr_hip_Joint,revolute,0.1125,-0.045,0,0,0,0,base_link,1,0,0,14,17,-0.6981,0.6981,,,,,,,,
fr_thigh_Link,-1.7191E-07,-0.043722,-0.098529,0,0,0,0.51852,0.00058679,-4.8303E-09,8.9295E-10,0.00062275,-1.7721E-05,0.00019682,0,0,0,0,0,0,package://V1.1/meshes/fr_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V1.1/meshes/fr_thigh_Link.STL,,1.10.000006_01_thigh-A-3,fr_thigh,fr_thigh_axis,fr_thigh_Joint,revolute,0.0575,-0.0525,0,0,0,0,fr_hip_Link,0,1,0,14,17,-2.7925,2.7925,,,,,,,,
fr_calf_Link,-3.72472818699343E-08,0.0152239823942054,-0.060264041700559,0,0,0,0.128542324462318,0.000367035372769872,-7.14893578304696E-12,2.14200547297064E-10,0.000375542947060939,6.01123837760298E-06,1.75060568795506E-05,0,0,0,0,0,0,package://V1.1/meshes/fr_calf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.1/meshes/fr_calf_Link.STL,,1.10.000009_01_calf-纯足-3,fr_calf,fr_calf_axis,fr_calf_Joint,revolute,0,-0.026,-0.135,0,0,0,fr_thigh_Link,0,1,0,14,17,-2.5307,2.5307,,,,,,,,
rl_hip_Link,-0.0516302667107058,0.0260950015217795,0.000147080718680002,0,0,0,0.40827900336416,0.000206498355753997,2.53511730149628E-05,1.16755902995995E-07,0.000183067872450545,-1.25996478028852E-07,0.000219300679623296,0,0,0,0,0,0,package://V1.1/meshes/rl_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.1/meshes/rl_hip_Link.STL,,1.10.000008_01_fr-hip-A-2,rl_hip,rl_hip_axis,rl_hip_Joint,revolute,-0.1125,0.045,0,0,0,0,base_link,1,0,0,14,17,-0.6981,0.6981,,,,,,,,
rl_thigh_Link,1.7062E-07,0.043722,-0.098529,0,0,0,0.51852,0.00058679,-4.838E-09,-8.6075E-10,0.00062275,1.7721E-05,0.00019682,0,0,0,0,0,0,package://V1.1/meshes/rl_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V1.1/meshes/rl_thigh_Link.STL,,1.10.000006_01_thigh-A-4,rl_thigh,rl_thigh_axis,rl_thigh_Joint,revolute,-0.0575,0.0525,0,0,0,0,rl_hip_Link,0,1,0,14,17,-2.7925,2.7925,,,,,,,,
rl_calf_Link,3.7247E-08,-0.015224,-0.060264,0,0,0,0.12854,0.00036704,-7.1489E-12,-2.142E-10,0.00037554,-6.0112E-06,1.7506E-05,0,0,0,0,0,0,package://V1.1/meshes/rl_calf_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V1.1/meshes/rl_calf_Link.STL,,1.10.000009_01_calf-纯足-4,rl_calf,rl_calf_axis,rl_calf_Joint,revolute,0,0.026,-0.135,0,0,0,rl_thigh_Link,0,1,0,14,17,-2.5307,2.5307,,,,,,,,
