Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.38776177319933E-18,-8.09977249391077E-09,0.00423553724500458,0,0,0,9.02843095821891,0.0241733331488589,-1.20975687580577E-09,-7.32754902303842E-19,0.0480944939166155,-9.26775156000566E-09,0.0605218823349584,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/base_link.STL,,1.10.000002_01_机身组件-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_hip_Link,0.0516302752757491,0.0260950056262972,0.00014836927473531,0,0,0,0.408278955837959,0.00020649835797969,-2.53511625035852E-05,-1.20945064081744E-07,0.000183067878022063,-1.37422065690664E-07,0.000219300679428138,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fl_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fl_hip_Link.STL,,1.10.000005_01_fl-hip-A-1,fl_hip,fl_hip_axis,fl_hip_Joint,revolute,0.1125,0.045,0,0,0,0,base_link,-1,0,0,14,17,-0.6981,0.6981,,,,,,,,
fl_thigh_Link,1.7257E-07,0.043722,-0.098529,0,0,0,0.51852,0.00058679,-4.8324E-09,-8.8295E-10,0.00062275,1.7721E-05,0.00019682,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fl_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fl_thigh_Link.STL,,1.10.000006_01_thigh-A-1,fl_thigh,fl_thigh_axis,fl_thigh_Joint,revolute,0.0575,0.0525,0,0,0,0,fl_hip_Link,0,-1,0,14,17,-2.7925,2.7925,,,,,,,,
fl_calf_Link,3.24343638613556E-08,0.000789975227354564,-0.121639575221504,0,0,0,0.392174326501423,0.000396336128022849,8.22659507737053E-12,-9.26185999345407E-11,0.00040259945428136,-1.24660667193853E-05,0.000150829767308416,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fl_calf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fl_calf_Link.STL,,1.10.000007_01_calf-轮腿-1,fl_calf,fl_calf_axis,fl_calf_Joint,revolute,0,0.026,-0.135,0,0,0,fl_thigh_Link,0,-1,0,14,17,-2.5307,2.5307,,,,,,,,
fl_wheel_Link,5.55111512312578E-17,0.00499999999999998,1.66533453693773E-16,0,0,0,0.276736791053345,0.00022985272972976,2.25816688311797E-20,-4.44965261735723E-20,0.00043881826680943,1.13885378963263E-20,0.00022985272972976,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fl_wheel_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fl_wheel_Link.STL,,wheel 组件-1,fl_wheel,fl_wheel_axis,fl_wheel_Joint,continuous,0,0.0315,-0.135,0,0,0,fl_calf_Link,0,-1,0,14,17,,,,,,,,,,
fr_hip_Link,0.0516302652892094,-0.0260950018134059,0.000147081180978758,0,0,0,0.408279022015596,0.000206498354941703,2.53511728297179E-05,-1.16755452376375E-07,0.000183067873968203,1.25997255136886E-07,0.000219300677960431,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fr_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fr_hip_Link.STL,,1.10.000008_01_fr-hip-A-1,fr_hip,fr_hip_axis,fr_hip_Joint,revolute,0.1125,-0.045,0,0,0,0,base_link,-1,0,0,14,17,-0.6981,0.6981,,,,,,,,
fr_thigh_Link,-1.7082E-07,-0.043722,-0.098529,0,0,0,0.51852,0.00058679,-4.8347E-09,8.7833E-10,0.00062275,-1.7721E-05,0.00019682,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fr_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fr_thigh_Link.STL,,1.10.000006_01_thigh-A-3,fr_thigh,fr_thigh_axis,fr_thigh_Joint,revolute,0.0575,-0.0525,0,0,0,0,fr_hip_Link,0,1,0,14,17,-2.7925,2.7925,,,,,,,,
fr_calf_Link,-3.24343640556446E-08,-0.00078997522735598,-0.121639575221504,0,0,0,0.392174326501423,0.000396336128022849,8.22659505204141E-12,9.26185997732429E-11,0.00040259945428136,1.24660667193857E-05,0.000150829767308416,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fr_calf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fr_calf_Link.STL,,1.10.000007_01_calf-轮腿-3,fr_calf,fr_calf_axis,fr_calf_Joint,revolute,0,-0.026,-0.135,0,0,0,fr_thigh_Link,0,1,0,14,17,-2.5307,2.5307,,,,,,,,
fr_wheel_Link,-2.77555756156289E-17,-0.00500000000000006,0,0,0,0,0.276736791053346,0.00022985272972976,5.90796417266053E-20,-3.50471708024287E-20,0.00043881826680943,1.19614468634102E-19,0.00022985272972976,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fr_wheel_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/fr_wheel_Link.STL,,wheel 组件-3,fr_wheel,fr_wheel_axis,fr_wheel_Joint,continuous,0,-0.0314999999999984,-0.134999999999999,0,0,0,fr_calf_Link,0,1,0,14,17,,,,,,,,,,
rl_hip_Link,-0.0516302667107058,0.0260950015217795,0.00014708071868003,0,0,0,0.408279003364161,0.000206498355753998,2.53511730149629E-05,1.16755902996125E-07,0.000183067872450545,-1.25996478028984E-07,0.000219300679623296,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/rl_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V1.2.SLDASM/meshes/rl_hip_Link.STL,,1.10.000008_01_fr-hip-A-2,rl_hip,rl_hip_axis,rl_hip_Joint,revolute,-0.1125,0.045,0,0,0,0,base_link,1,0,0,14,17,-0.6981,0.6981,,,,,,,,
